hgnc	ens
PDIA5	ENSG00000065485
DLEU2	ENSG00000231607
ZCCHC4	ENSG00000168228
ENOSF1	ENSG00000132199
ACAD9	ENSG00000177646
PRSS8	ENSG00000052344
MTFMT	ENSG00000103707
KLHL28	ENSG00000179454
ELOVL2	ENSG00000197977
BOLA2	ENSG00000183336
CHRM1	ENSG00000168539
LAMB2	ENSG00000172037
PARP4	ENSG00000102699
	ENSG00000272142
TOGARAM1	ENSG00000198718
SORD2P	ENSG00000259479
RHBDD2	ENSG00000005486
SEC22A	ENSG00000121542
	ENSG00000274080
MLXIPL	ENSG00000009950
RPP40	ENSG00000124787
FOXL2NB	ENSG00000206262
ATPSCKMT	ENSG00000150756
CSMD3	ENSG00000164796
FOXD3	ENSG00000187140
FOXD3-AS1	ENSG00000230798
ZNF236-DT	ENSG00000264278
MRPS22	ENSG00000175110
SLC39A4	ENSG00000147804
NIPSNAP3A	ENSG00000136783
TPI1	ENSG00000111669
GTF2H2	ENSG00000145736
PARVA	ENSG00000197702
TPRKB	ENSG00000144034
RARRES1	ENSG00000118849
CNTNAP3B	ENSG00000154529
	ENSG00000271992
SDHAF3	ENSG00000196636
GMEB2	ENSG00000101216
WDR33	ENSG00000136709
SLC20A1	ENSG00000144136
RASSF2	ENSG00000101265
HEY1	ENSG00000164683
PPWD1	ENSG00000113593
FAM160A2	ENSG00000051009
ATP6V1A	ENSG00000114573
FAM107B	ENSG00000065809
RPS27	ENSG00000177954
MFSD1	ENSG00000118855
PRMT3	ENSG00000185238
TMEM63C	ENSG00000165548
NYNRIN	ENSG00000205978
LEMD2	ENSG00000161904
CCT6P3	ENSG00000234585
ADD3	ENSG00000148700
ORC6	ENSG00000091651
ENO2	ENSG00000111674
UVSSA	ENSG00000163945
PPP1R3B	ENSG00000173281
TRIM13	ENSG00000204977
CBLN3	ENSG00000139899
COPB2	ENSG00000184432
TEK	ENSG00000120156
BLCAP	ENSG00000166619
PGM2	ENSG00000169299
LINC00526	ENSG00000264575
CIPC	ENSG00000198894
KHNYN	ENSG00000100441
ZBTB14	ENSG00000198081
	ENSG00000279200
FAM198B-AS1	ENSG00000248429
MPP6	ENSG00000105926
SHARPIN	ENSG00000179526
GASK1B	ENSG00000164125
NUP188	ENSG00000095319
LINC00667	ENSG00000263753
RNASEH2B	ENSG00000136104
SDR39U1	ENSG00000100445
C2orf27A	ENSG00000197927
MPIG6B	ENSG00000204420
LINC01087	ENSG00000224559
GRSF1	ENSG00000132463
IGSF8	ENSG00000162729
FZD3	ENSG00000104290
RAB3IP	ENSG00000127328
RDX	ENSG00000137710
RASL12	ENSG00000103710
PPM1K	ENSG00000163644
PLEKHO1	ENSG00000023902
AZIN1	ENSG00000155096
WDR97	ENSG00000179698
PSMC2	ENSG00000161057
TMEM144	ENSG00000164124
SPSB2	ENSG00000111671
NOMO1	ENSG00000103512
ARHGAP10	ENSG00000071205
RPL17-C18orf32	ENSG00000215472
TCF7L2	ENSG00000148737
CHD8	ENSG00000100888
CDK1	ENSG00000170312
LRRC23	ENSG00000010626
MAF1	ENSG00000179632
NR1I3	ENSG00000143257
KLHL23	ENSG00000213160
HOXA3	ENSG00000105997
KCNQ4	ENSG00000117013
PMPCB	ENSG00000105819
RPL17	ENSG00000265681
TMEM119	ENSG00000183160
BTN3A3	ENSG00000111801
MHENCR	ENSG00000232442
USP35	ENSG00000118369
HOXA-AS2	ENSG00000253552
SH3GLB2	ENSG00000148341
PPM1G	ENSG00000115241
SBSPON	ENSG00000164764
HOXA5	ENSG00000106004
	ENSG00000253636
HOXA7	ENSG00000122592
TERF1	ENSG00000147601
MBD1	ENSG00000141644
ZNF282	ENSG00000170265
HOXA4	ENSG00000197576
TIMM22	ENSG00000177370
RIN2	ENSG00000132669
TEF	ENSG00000167074
PUDP	ENSG00000130021
INHBB	ENSG00000163083
FAM53A	ENSG00000174137
TEAD1	ENSG00000187079
ERVFRD-1	ENSG00000244476
SMIM13	ENSG00000224531
SELPLG	ENSG00000110876
REST	ENSG00000084093
STMN3	ENSG00000197457
SLC23A2	ENSG00000089057
GLYR1	ENSG00000140632
STS	ENSG00000101846
ARMH1	ENSG00000198520
CCDC71	ENSG00000177352
MTG2	ENSG00000101181
GPBP1	ENSG00000062194
NEDD9	ENSG00000111859
TNFRSF1A	ENSG00000067182
HLCS	ENSG00000159267
MSL3	ENSG00000005302
DSTNP2	ENSG00000248593
RPL13P5	ENSG00000240370
EXTL3	ENSG00000012232
LZTS1	ENSG00000061337
SMARCAD1	ENSG00000163104
KLHDC8B	ENSG00000185909
KATNBL1	ENSG00000134152
TLR4	ENSG00000136869
CNTN6	ENSG00000134115
NCKIPSD	ENSG00000213672
NOA1	ENSG00000084092
SP3	ENSG00000172845
WDR72	ENSG00000166415
TCEANC2	ENSG00000116205
EXTL3-AS1	ENSG00000246339
MAPK3	ENSG00000102882
CKLF	ENSG00000217555
AZIN1-AS1	ENSG00000253320
TRIT1	ENSG00000043514
	ENSG00000204117
KDM2A	ENSG00000173120
RCAN3	ENSG00000117602
LINC00958	ENSG00000251381
STIMATE	ENSG00000213533
ZNF92	ENSG00000146757
STX12	ENSG00000117758
WAS	ENSG00000015285
PRR14L	ENSG00000183530
PLA2G15	ENSG00000103066
RAB3IL1	ENSG00000167994
	ENSG00000267834
DOLK	ENSG00000175283
LRRC74B	ENSG00000187905
TMEM245	ENSG00000106771
RHOBTB1	ENSG00000072422
PHYHD1	ENSG00000175287
ITIH4	ENSG00000055955
CYB5RL	ENSG00000215883
PSTPIP2	ENSG00000152229
SCIN	ENSG00000006747
ATXN10	ENSG00000130638
	ENSG00000285864
CLPB	ENSG00000162129
MYLK3	ENSG00000140795
SREBF1	ENSG00000072310
UBN1	ENSG00000118900
ULK2	ENSG00000083290
MOSMO	ENSG00000185716
ZNF703	ENSG00000183779
TPCN2	ENSG00000162341
SSBP3	ENSG00000157216
OCIAD2	ENSG00000145247
CELSR3	ENSG00000008300
ZC3H12C	ENSG00000149289
C18orf32	ENSG00000177576
AVPI1	ENSG00000119986
TOB2	ENSG00000183864
CNOT2	ENSG00000111596
MPLKIP	ENSG00000168303
	ENSG00000280383
CITED4	ENSG00000179862
SFRP1	ENSG00000104332
ANKRD36	ENSG00000135976
MARVELD1	ENSG00000155254
ANKRD16	ENSG00000134461
	ENSG00000271335
ERLIN2	ENSG00000147475
	ENSG00000285919
CCNY	ENSG00000108100
ANP32A	ENSG00000140350
FBXO6	ENSG00000116663
PPP1R8	ENSG00000117751
BCRP2	ENSG00000169668
KRT7	ENSG00000135480
UBA1	ENSG00000130985
POGZ	ENSG00000143442
SH3TC1	ENSG00000125089
FTH1	ENSG00000167996
ANAPC4	ENSG00000053900
SLC26A6	ENSG00000225697
SUV39H1	ENSG00000101945
CCT6P1	ENSG00000228409
SLBP	ENSG00000163950
CASC15	ENSG00000272168
MRPS35	ENSG00000061794
KMT5B	ENSG00000110066
NOX5	ENSG00000255346
	ENSG00000286108
STK35	ENSG00000125834
ZRANB2	ENSG00000132485
TMEM26	ENSG00000196932
PTAR1	ENSG00000188647
	ENSG00000280138
VPS37B	ENSG00000139722
MOB3B	ENSG00000120162
DOCK1	ENSG00000150760
BEST1	ENSG00000167995
	ENSG00000256152
FKBP3	ENSG00000100442
C9orf72	ENSG00000147894
NAA30	ENSG00000139977
STIMATE-MUSTN1	ENSG00000248592
	ENSG00000248538
RAI1	ENSG00000108557
MS4A2	ENSG00000149534
EMC4	ENSG00000128463
PRPF39	ENSG00000185246
MMP8	ENSG00000118113
SPTY2D1	ENSG00000179119
FOCAD	ENSG00000188352
NR3C2	ENSG00000151623
MRPL37	ENSG00000116221
CKAP2L	ENSG00000169607
TCTN3	ENSG00000119977
KANTR	ENSG00000232593
USP8	ENSG00000138592
UBAP1L	ENSG00000246922
ZNF236	ENSG00000130856
CCDC102A	ENSG00000135736
SLC12A6	ENSG00000140199
ZFYVE27	ENSG00000155256
NAA20	ENSG00000173418
P2RY1	ENSG00000169860
IFI44L	ENSG00000137959
VPS37D	ENSG00000176428
	ENSG00000203446
SUGCT	ENSG00000175600
TACC3	ENSG00000013810
	ENSG00000285103
TNIP2	ENSG00000168884
CHID1	ENSG00000177830
POU5F1B	ENSG00000212993
TSPAN14	ENSG00000108219
STX1A	ENSG00000106089
LRATD2	ENSG00000168672
ATG9B	ENSG00000181652
MTERF3	ENSG00000156469
CASC19	ENSG00000254166
SPESP1	ENSG00000258484
FOXK1	ENSG00000164916
	ENSG00000267239
ZNF212	ENSG00000170260
PGGHG	ENSG00000142102
CTNNBL1	ENSG00000132792
GRAMD1C	ENSG00000178075
	ENSG00000260460
ADAM15	ENSG00000143537
ACADVL	ENSG00000072778
ZDHHC21	ENSG00000175893
NPIPA1	ENSG00000183426
NOS3	ENSG00000164867
IL10RB	ENSG00000243646
PCAT1	ENSG00000253438
RAP2B	ENSG00000181467
KLHL42	ENSG00000087448
R3HDM2	ENSG00000179912
CCDC36	ENSG00000173421
PDK3	ENSG00000067992
ZNF70	ENSG00000187792
IL10RB-DT	ENSG00000223799
	ENSG00000183458
RTTN	ENSG00000176225
TMEM129	ENSG00000168936
IFNAR2	ENSG00000159110
WNT7B	ENSG00000188064
GPR65	ENSG00000140030
NOM1	ENSG00000146909
LDLRAD4	ENSG00000168675
KIAA1841	ENSG00000162929
KDM5A	ENSG00000073614
FEZ1	ENSG00000149557
LINC02006	ENSG00000238755
GEMIN6	ENSG00000152147
	ENSG00000273145
TIMELESS	ENSG00000111602
LINC00899	ENSG00000231711
DNAJC30	ENSG00000176410
LYRM4	ENSG00000214113
MRPL40	ENSG00000185608
OR7E38P	ENSG00000183444
BUD23	ENSG00000071462
	ENSG00000284707
DUSP11	ENSG00000144048
	ENSG00000285725
RWDD3	ENSG00000122481
ASNS	ENSG00000070669
MS4A6A	ENSG00000110077
TDRD7	ENSG00000196116
	ENSG00000253174
CDC7	ENSG00000097046
HIRA	ENSG00000100084
GINS4	ENSG00000147536
GPR89B	ENSG00000188092
ARHGEF26-AS1	ENSG00000243069
P3H1	ENSG00000117385
TLCD4	ENSG00000152078
MRPS30	ENSG00000112996
EPHB6	ENSG00000106123
TTC17	ENSG00000052841
ARHGEF26	ENSG00000114790
ZNF783	ENSG00000204946
	ENSG00000226026
ITCH	ENSG00000078747
GOLGA7	ENSG00000147533
ARL4A	ENSG00000122644
C18orf15	ENSG00000279020
RIPPLY3	ENSG00000183145
	ENSG00000244560
MMP11	ENSG00000099953
DPH7	ENSG00000148399
	ENSG00000255537
CHEK1	ENSG00000149554
B3GLCT	ENSG00000187676
UFSP2	ENSG00000109775
CDK11A	ENSG00000008128
ADGRG5	ENSG00000159618
C1DP1	ENSG00000231245
RHOG	ENSG00000177105
C2orf74	ENSG00000237651
STAC3	ENSG00000185482
CREB3	ENSG00000107175
CHCHD10	ENSG00000250479
INE1	ENSG00000224975
GFRA2	ENSG00000168546
GOLGB1	ENSG00000173230
	ENSG00000212978
FRRS1L	ENSG00000260230
API5	ENSG00000166181
CCDC77	ENSG00000120647
C22orf39	ENSG00000242259
	ENSG00000258323
	ENSG00000235615
NAA25	ENSG00000111300
IMMP2L	ENSG00000184903
RNF227	ENSG00000179859
PSMB8-AS1	ENSG00000204261
RRBP1	ENSG00000125844
	ENSG00000233183
GGCX	ENSG00000115486
PSMB9	ENSG00000240065
	ENSG00000280320
RASSF3	ENSG00000153179
TOMM40L	ENSG00000158882
GBA2	ENSG00000070610
IFITM1	ENSG00000185885
UFD1	ENSG00000070010
LRRN3	ENSG00000173114
IFITM2	ENSG00000185201
	ENSG00000272335
NBEA	ENSG00000172915
GPAT4	ENSG00000158669
CNTROB	ENSG00000170037
MRPS28	ENSG00000147586
UNC13C	ENSG00000137766
ACVR1C	ENSG00000123612
PSMB8	ENSG00000204264
ARID5B	ENSG00000150347
IFITM3	ENSG00000142089
ARHGAP15	ENSG00000075884
ANKRD37	ENSG00000186352
TMEM121	ENSG00000184986
	ENSG00000251661
SFRP5	ENSG00000120057
TPD52	ENSG00000076554
CHMP4C	ENSG00000164695
SLC11A2	ENSG00000110911
CDC42BPG	ENSG00000171219
SCRIB	ENSG00000180900
TWIST1	ENSG00000122691
ZFAND1	ENSG00000104231
B4GALNT4	ENSG00000182272
SLMAP	ENSG00000163681
HK1	ENSG00000156515
HOXA10	ENSG00000253293
WDR7	ENSG00000091157
TLN1	ENSG00000137076
TAP1	ENSG00000168394
DDX19B	ENSG00000157349
MIRLET7BHG	ENSG00000197182
MAMDC2	ENSG00000165072
	ENSG00000240809
C11orf24	ENSG00000171067
PRR34-AS1	ENSG00000241990
ROBO2	ENSG00000185008
HSPA14	ENSG00000187522
THEMIS2	ENSG00000130775
HDHD5	ENSG00000069998
LRAT	ENSG00000121207
MIS12	ENSG00000167842
STIM1	ENSG00000167323
MAT2A	ENSG00000168906
POP5	ENSG00000167272
DERL2	ENSG00000072849
C1orf159	ENSG00000131591
DYNLRB1	ENSG00000125971
IFI44	ENSG00000137965
KDM3A	ENSG00000115548
TRMT2B	ENSG00000188917
NUP155	ENSG00000113569
	ENSG00000273066
DLG4	ENSG00000132535
IQGAP3	ENSG00000183856
RABL6	ENSG00000196642
TRAPPC1	ENSG00000170043
RFX3	ENSG00000080298
HOXA11-AS	ENSG00000240990
NOL8	ENSG00000198000
HOXA11	ENSG00000005073
AIMP1	ENSG00000164022
SORD	ENSG00000140263
FZD8	ENSG00000177283
	ENSG00000284024
CAVIN3	ENSG00000170955
MRPL52	ENSG00000172590
DAAM1	ENSG00000100592
KCNAB3	ENSG00000170049
	ENSG00000282556
	ENSG00000268575
	ENSG00000227775
SLC35E2A	ENSG00000215790
NPIPB12	ENSG00000169203
STT3A	ENSG00000134910
TWISTNB	ENSG00000105849
PIGP	ENSG00000185808
TXNL1	ENSG00000091164
C16orf87	ENSG00000155330
PKP3	ENSG00000184363
	ENSG00000229618
PCYT1B	ENSG00000102230
RPS26P19	ENSG00000244563
POLR2D	ENSG00000144231
ABCA1	ENSG00000165029
SPTBN1	ENSG00000115306
C12orf4	ENSG00000047621
ATP6V0D1	ENSG00000159720
NPTXR	ENSG00000221890
TMEM141	ENSG00000244187
RTKN2	ENSG00000182010
ADCY5	ENSG00000173175
ZMAT3	ENSG00000172667
TMEM230	ENSG00000089063
	ENSG00000279202
SLC7A6	ENSG00000103064
PRKCB	ENSG00000166501
INHBA	ENSG00000122641
CFAP61	ENSG00000089101
NELL1	ENSG00000165973
TLE1	ENSG00000196781
	ENSG00000280043
VKORC1L1	ENSG00000196715
FBXO25	ENSG00000147364
DEPDC5	ENSG00000100150
TBCK	ENSG00000145348
INTS9	ENSG00000104299
ANP32E	ENSG00000143401
FARS2	ENSG00000145982
ZBTB4	ENSG00000174282
ADAM9	ENSG00000168615
GSDME	ENSG00000105928
HAUS1	ENSG00000152240
	ENSG00000285812
PAFAH1B2	ENSG00000168092
AMMECR1L	ENSG00000144233
EI24	ENSG00000149547
	ENSG00000272667
PHF5A	ENSG00000100410
UBXN7	ENSG00000163960
ERMAP	ENSG00000164010
MYEOV	ENSG00000172927
SMG1P2	ENSG00000205534
CCT5	ENSG00000150753
SOX1	ENSG00000182968
NARS2	ENSG00000137513
CRTAC1	ENSG00000095713
ATP5F1A	ENSG00000152234
NKD1	ENSG00000140807
SLC7A6OS	ENSG00000103061
IL1B	ENSG00000125538
ZNF777	ENSG00000196453
NCMAP	ENSG00000184454
MAD2L1	ENSG00000164109
PTPN3	ENSG00000070159
SVBP	ENSG00000177868
C1orf50	ENSG00000164008
LRP5	ENSG00000162337
BRPF1	ENSG00000156983
	ENSG00000258711
SUMO2P1	ENSG00000235238
RNF152	ENSG00000176641
	ENSG00000283580
HCN1	ENSG00000164588
TMEM269	ENSG00000274386
PRDM10	ENSG00000170325
SNX20	ENSG00000167208
RNMT	ENSG00000101654
C6orf136	ENSG00000204564
CCDC136	ENSG00000128596
TRIM9	ENSG00000100505
GAB2	ENSG00000033327
GOLGA7B	ENSG00000155265
QPRT	ENSG00000103485
CRNKL1	ENSG00000101343
ATP6V1C1	ENSG00000155097
TACR2	ENSG00000075073
FBXW4	ENSG00000107829
ZNF746	ENSG00000181220
GAS7	ENSG00000007237
GCNT3	ENSG00000140297
SPN	ENSG00000197471
ARHGAP24	ENSG00000138639
DHX16	ENSG00000204560
	ENSG00000272769
GTF2A2	ENSG00000140307
HGH1	ENSG00000235173
DDX19A	ENSG00000168872
PURPL	ENSG00000250337
XYLB	ENSG00000093217
RBM26	ENSG00000139746
NRBP1	ENSG00000115216
CBX6	ENSG00000183741
DOK2	ENSG00000147443
IQCB1	ENSG00000173226
SLC6A1	ENSG00000157103
C16orf54	ENSG00000185905
	ENSG00000260719
VANGL1	ENSG00000173218
SPRYD4	ENSG00000176422
LYPD1	ENSG00000150551
TUBB6	ENSG00000176014
	ENSG00000273038
BNIP2	ENSG00000140299
ZNF365	ENSG00000138311
HACD2	ENSG00000206527
CA14	ENSG00000118298
PTPN13	ENSG00000163629
	ENSG00000248583
VSTM2L	ENSG00000132821
ZMYND19	ENSG00000165724
CCND1	ENSG00000110092
SLC34A2	ENSG00000157765
EHD1	ENSG00000110047
PIGV	ENSG00000060642
RBM26-AS1	ENSG00000227354
FAM180B	ENSG00000196666
HOXA13	ENSG00000106031
RPS24	ENSG00000138326
APOBEC3B	ENSG00000179750
CD3G	ENSG00000160654
HTRA3	ENSG00000170801
ENTPD1	ENSG00000138185
FAM210A	ENSG00000177150
LTO1	ENSG00000149716
	ENSG00000260072
PSMD9	ENSG00000110801
	ENSG00000261777
CACNA1C	ENSG00000151067
TSC22D3	ENSG00000157514
APOBEC3A	ENSG00000128383
KDM5C	ENSG00000126012
SERPINF2	ENSG00000167711
TTI1	ENSG00000101407
LINC01761	ENSG00000233907
	ENSG00000254547
NEGR1	ENSG00000172260
TRIM51	ENSG00000124900
WDR66	ENSG00000158023
DENND10	ENSG00000119979
MIR194-2HG	ENSG00000229719
ISY1-RAB43	ENSG00000261796
SCNN1A	ENSG00000111319
MAP9	ENSG00000164114
MUC5B	ENSG00000117983
	ENSG00000278330
POLR3H	ENSG00000100413
MBP	ENSG00000197971
CCNJ	ENSG00000107443
IGFBP6	ENSG00000167779
GNS	ENSG00000135677
ISY1	ENSG00000240682
TENT2	ENSG00000164329
AFG3L2	ENSG00000141385
FANCM	ENSG00000187790
GLI3	ENSG00000106571
MYLK	ENSG00000065534
EHMT1	ENSG00000181090
NDFIP2	ENSG00000102471
ENTPD1-AS1	ENSG00000226688
MED12	ENSG00000184634
MAGI1	ENSG00000151276
	ENSG00000260412
IP6K1	ENSG00000176095
BTN2A1	ENSG00000112763
LINGO2	ENSG00000174482
GRK2	ENSG00000173020
ACO2	ENSG00000100412
BMI1	ENSG00000168283
DUOX1	ENSG00000137857
ALG6	ENSG00000088035
NRG3	ENSG00000185737
PSMA2	ENSG00000106588
HERC6	ENSG00000138642
RNF168	ENSG00000163961
RAB43	ENSG00000172780
CORO1C	ENSG00000110880
NRN1	ENSG00000124785
ZNF767P	ENSG00000133624
OLA1	ENSG00000138430
TRAFD1	ENSG00000135148
LTBR	ENSG00000111321
PPIAP46	ENSG00000260266
STAMBP	ENSG00000124356
TMEM86A	ENSG00000151117
FZD6	ENSG00000164930
	ENSG00000256646
PTHLH	ENSG00000087494
OR5AS1	ENSG00000181785
TUBGCP5	ENSG00000275835
C7orf25	ENSG00000136197
COL3A1	ENSG00000168542
BAALC-AS1	ENSG00000247081
ACER3	ENSG00000078124
SRRM1	ENSG00000133226
GABRB3	ENSG00000166206
BAALC	ENSG00000164929
GUSB	ENSG00000169919
COMMD3-BMI1	ENSG00000269897
ABCB9	ENSG00000150967
PSMA3	ENSG00000100567
NCBP1	ENSG00000136937
EMB	ENSG00000170571
CENPM	ENSG00000100162
GPT2	ENSG00000166123
	ENSG00000267559
TAF4B	ENSG00000141384
	ENSG00000286266
PARP6	ENSG00000137817
COMMD3	ENSG00000148444
FAM74A6	ENSG00000274516
CCDC85B	ENSG00000175602
MS4A4E	ENSG00000214787
MYC	ENSG00000136997
INCENP	ENSG00000149503
NDUFC1	ENSG00000109390
POLA1	ENSG00000101868
CLMN	ENSG00000165959
ZNF691	ENSG00000164011
METTL25	ENSG00000127720
POLE	ENSG00000177084
PRDM5	ENSG00000138738
FBN1	ENSG00000166147
MMP14	ENSG00000157227
TMOD1	ENSG00000136842
PCNA	ENSG00000132646
GHITM	ENSG00000165678
COX19	ENSG00000240230
RAP1GAP	ENSG00000076864
RAB33B	ENSG00000172007
SELENON	ENSG00000162430
UBE3C	ENSG00000009335
TMX1	ENSG00000139921
CCDC59	ENSG00000133773
EAF2	ENSG00000145088
NAA15	ENSG00000164134
ADAP1	ENSG00000105963
TBC1D4	ENSG00000136111
MID2	ENSG00000080561
ITGB1	ENSG00000150093
UBASH3B	ENSG00000154127
TRPS1	ENSG00000104447
INKA1	ENSG00000185614
ADGRL4	ENSG00000162618
HIC2	ENSG00000169635
MTCH2	ENSG00000109919
SFMBT1	ENSG00000163935
TSTD2	ENSG00000136925
PDCD7	ENSG00000090470
GSTM1	ENSG00000134184
AUNIP	ENSG00000127423
PALM2AKAP2	ENSG00000157654
ARRDC1-AS1	ENSG00000203993
LRP10	ENSG00000197324
MTFR1L	ENSG00000117640
USP4	ENSG00000114316
LINC02043	ENSG00000232233
PSMA3-AS1	ENSG00000257621
ADIPOQ	ENSG00000181092
ARRDC1	ENSG00000197070
	ENSG00000266844
MAPK10	ENSG00000109339
FGFR3	ENSG00000068078
RFT1	ENSG00000163933
DCK	ENSG00000156136
ATPAF1	ENSG00000123472
IFT172	ENSG00000138002
HSPA13	ENSG00000155304
METAP2	ENSG00000111142
ACTR10	ENSG00000131966
NLN	ENSG00000123213
AP2A2	ENSG00000183020
QTRT2	ENSG00000151576
PIDD1	ENSG00000177595
F13A1	ENSG00000124491
ATG2A	ENSG00000110046
SMC5	ENSG00000198887
PNPLA4	ENSG00000006757
SHF	ENSG00000138606
PTDSS1	ENSG00000156471
UBA7	ENSG00000182179
MOB1B	ENSG00000173542
	ENSG00000273247
RBM23	ENSG00000100461
TRIM23	ENSG00000113595
TRIM24	ENSG00000122779
MMP1	ENSG00000196611
NLRP1	ENSG00000091592
C12orf57	ENSG00000111678
MROH1	ENSG00000179832
	ENSG00000280384
NPM3	ENSG00000107833
PPARA	ENSG00000186951
CCDC191	ENSG00000163617
HCG11	ENSG00000228223
	ENSG00000270049
ATN1	ENSG00000111676
SLC25A22	ENSG00000177542
CTPS1	ENSG00000171793
PDCL	ENSG00000136940
C12orf75	ENSG00000235162
ARL6IP4	ENSG00000182196
GSTM2	ENSG00000213366
ARMH4	ENSG00000139971
FLNC	ENSG00000128591
NCKAP5	ENSG00000176771
	ENSG00000277534
RPA2	ENSG00000117748
DHX57	ENSG00000163214
EEF1A1P11	ENSG00000228502
KLF9	ENSG00000119138
RPL7P9	ENSG00000137970
ZDHHC23	ENSG00000184307
MAD2L2	ENSG00000116670
MMP3	ENSG00000149968
ZDHHC18	ENSG00000204160
R3HCC1L	ENSG00000166024
TRAPPC13	ENSG00000113597
FOSL1	ENSG00000175592
ACVR1	ENSG00000115170
RPS15A	ENSG00000134419
APPL2	ENSG00000136044
EML6	ENSG00000214595
	ENSG00000271533
PTPRE	ENSG00000132334
TMEM191C	ENSG00000206140
FTX	ENSG00000230590
HMGN4	ENSG00000182952
SAPCD1	ENSG00000228727
MYBL2	ENSG00000101057
BBX	ENSG00000114439
TGFBR3	ENSG00000069702
GLI2	ENSG00000074047
CLIC1	ENSG00000213719
FRMD6-AS1	ENSG00000273888
FRMD6	ENSG00000139926
ECPAS	ENSG00000136813
C3orf62	ENSG00000188315
	ENSG00000258768
SFN	ENSG00000175793
CHST9	ENSG00000154080
ABT1	ENSG00000146109
GPN2	ENSG00000142751
TTC5	ENSG00000136319
	ENSG00000286190
AQP4-AS1	ENSG00000260372
ANO5	ENSG00000171714
GSTM4	ENSG00000168765
MYCL	ENSG00000116990
DNAJA2	ENSG00000069345
MS4A7	ENSG00000166927
TUBGCP3	ENSG00000126216
POMT2	ENSG00000009830
KCTD1	ENSG00000134504
CELF6	ENSG00000140488
NSD3	ENSG00000147548
CDS2	ENSG00000101290
SGTB	ENSG00000197860
FRY	ENSG00000073910
NUDC	ENSG00000090273
ARL6IP1	ENSG00000170540
ZNF322	ENSG00000181315
L3HYPDH	ENSG00000126790
SERPINF1	ENSG00000132386
WDR37	ENSG00000047056
KCP	ENSG00000135253
MAPK8IP3	ENSG00000138834
	ENSG00000261584
SSB	ENSG00000138385
DDAH2	ENSG00000213722
OGFOD2	ENSG00000111325
BCL7A	ENSG00000110987
POLR2B	ENSG00000047315
LETM1	ENSG00000168924
JKAMP	ENSG00000050130
GPATCH3	ENSG00000198746
DCTN2	ENSG00000175203
HIBADH	ENSG00000106049
	ENSG00000260342
CEP44	ENSG00000164118
	ENSG00000253334
	ENSG00000259519
SNX16	ENSG00000104497
	ENSG00000259539
ATP6AP2	ENSG00000182220
SOCS6	ENSG00000170677
NBPF11	ENSG00000263956
PDLIM3	ENSG00000154553
METTL5	ENSG00000138382
CCDC91	ENSG00000123106
VPS28	ENSG00000160948
HEXA	ENSG00000213614
FREM1	ENSG00000164946
KIF2C	ENSG00000142945
PPARG	ENSG00000132170
TNIK	ENSG00000154310
ATP6V1FNB	ENSG00000272899
SUPT20H	ENSG00000102710
ATP6V1F	ENSG00000128524
WDR47	ENSG00000085433
	ENSG00000284196
CCHCR1	ENSG00000204536
ABCA3	ENSG00000167972
FBXO8	ENSG00000164117
PDLIM5	ENSG00000163110
RBP1	ENSG00000114115
RDH10	ENSG00000121039
MSH5-SAPCD1	ENSG00000255152
ADA2	ENSG00000093072
	ENSG00000247934
RPL7	ENSG00000147604
TMEM120A	ENSG00000189077
XPO7	ENSG00000130227
MARS1	ENSG00000166986
NMNAT3	ENSG00000163864
CLPX	ENSG00000166855
ADAM32	ENSG00000197140
DDHD2	ENSG00000085788
RPSAP14	ENSG00000233984
JPX	ENSG00000225470
PRMT5	ENSG00000100462
LINC02732	ENSG00000254416
MLEC	ENSG00000110917
WDR70	ENSG00000082068
SLC35G2	ENSG00000168917
	ENSG00000256364
FDX1	ENSG00000137714
NCK1-DT	ENSG00000239213
IGFBP7	ENSG00000163453
SEC14L5	ENSG00000103184
SELENOI	ENSG00000138018
POLR2A	ENSG00000181222
IL20RB	ENSG00000174564
MSH5	ENSG00000204410
TSPAN15	ENSG00000099282
C16orf89	ENSG00000153446
METTL22	ENSG00000067365
CILP	ENSG00000138615
CGN	ENSG00000143375
NCK1	ENSG00000158092
NME3	ENSG00000103024
NAGPA	ENSG00000103174
POR	ENSG00000127948
RMND5A	ENSG00000153561
ASH1L	ENSG00000116539
	ENSG00000260729
NAXE	ENSG00000163382
CENPI	ENSG00000102384
RPS8	ENSG00000142937
PLPP5	ENSG00000147535
RNF103	ENSG00000239305
SLC22A15	ENSG00000163393
KCNMB3	ENSG00000171121
ANOS1	ENSG00000011201
RRN3	ENSG00000085721
LINC02805	ENSG00000232265
ASRGL1	ENSG00000162174
	ENSG00000227733
ATP1A4	ENSG00000132681
SPRY2	ENSG00000136158
SEL1L3	ENSG00000091490
SYNE3	ENSG00000176438
LDHAP4	ENSG00000214110
CHMP3	ENSG00000115561
CLCN3P1	ENSG00000232000
DCLK1	ENSG00000133083
PIK3CA	ENSG00000121879
RIPOR1	ENSG00000039523
MFSD2A	ENSG00000168389
AKAP10	ENSG00000108599
RPA1	ENSG00000132383
COMMD6	ENSG00000188243
DHX36	ENSG00000174953
PKMYT1	ENSG00000127564
DDIT3	ENSG00000175197
LOXL4	ENSG00000138131
TMEM25	ENSG00000149582
USP34	ENSG00000115464
	ENSG00000256569
UNC119B	ENSG00000175970
PTBP2	ENSG00000117569
